year,month,period,race_name,race_name_kana,year_dispname,race_grade,race_track,fleld_type,distance,distance_range,direction,is_special
,,,トゥインクルシリーズ,とぅいんくるしりーず,,EX,,,,,,true
,,,ドリームトロフィーリーグ,どりーむとろふぃーりーぐ,,EX,,,,,,true
,,,メイクデビュー,めいくでびゅー,,--,,,,,,true
1,7,後半,函館ジュニアステークス,はこだてじゅにあすてーくす,ジュニア,G3,函館,芝,1200m,短距離,右,false
1,7,後半,中京ジュニアステークス,ちゅうきょうじゅにあすてーくす,ジュニア,OP,中京,芝,1600m,マイル,左,false
1,8,前半,フェニックス賞,ふぇにっくすしょう,ジュニア,OP,小倉,芝,1200m,短距離,右,false
1,8,前半,ダリア賞,だりあしょう,ジュニア,OP,新潟,芝,1400m,短距離,左内,false
1,8,前半,コスモス賞,こすもすしょう,ジュニア,OP,札幌,芝,1800m,マイル,右,false
1,8,後半,クローバー賞,くろーばーしょう,ジュニア,OP,札幌,芝,1500m,マイル,右,false
1,8,後半,新潟ジュニアステークス,にいがたじゅにあすてーくす,ジュニア,G3,新潟,芝,1600m,マイル,左外,false
1,9,前半,野路菊ステークス,のじぎくすてーくす,ジュニア,OP,阪神,芝,1800m,マイル,右外,false
1,9,前半,すずらん賞,すずらんしょう,ジュニア,OP,札幌,芝,1200m,短距離,右,false
1,9,前半,アスター賞,あすたーしょう,ジュニア,Pre-OP,中山,芝,1600m,マイル,右外,false
1,9,前半,小倉ジュニアステークス,こくらじゅにあすてーくす,ジュニア,G3,小倉,芝,1200m,短距離,右,false
1,9,前半,札幌ジュニアステークス,さっぽろじゅにあすてーくす,ジュニア,G3,札幌,芝,1800m,マイル,右,false
1,9,後半,サフラン賞,さふらんしょう,ジュニア,Pre-OP,中山,芝,1600m,マイル,右外,false
1,9,後半,カンナステークス,かんなすてーくす,ジュニア,OP,中山,芝,1200m,短距離,右外,false
1,9,後半,ききょうステークス,ききょうすてーくす,ジュニア,OP,阪神,芝,1400m,短距離,右内,false
1,9,後半,芙蓉ステークス,ふようすてーくす,ジュニア,OP,中山,芝,2000m,中距離,右内,false
1,10,前半,プラタナス賞,ぷらたなすしょう,ジュニア,Pre-OP,東京,ダート,1600m,マイル,左,false
1,10,前半,りんどう賞,りんどうしょう,ジュニア,Pre-OP,京都,芝,1400m,短距離,右外,false
1,10,前半,紫菊賞,しぎくしょう,ジュニア,Pre-OP,京都,芝,2000m,中距離,右内,false
1,10,前半,もみじステークス,もみじすてーくす,ジュニア,OP,京都,芝,1400m,短距離,右外,false
1,10,前半,サウジアラビアロイヤルカップ,さうじあらびあろいやるかっぷ,ジュニア,G3,東京,芝,1600m,マイル,左,false
1,10,後半,アイビーステークス,あいびーすてーくす,ジュニア,OP,東京,芝,1800m,マイル,左,false
1,10,後半,なでしこ賞,なでしこしょう,ジュニア,Pre-OP,京都,ダート,1400m,短距離,右,false
1,10,後半,萩ステークス,はぎすてーくす,ジュニア,OP,京都,芝,1800m,マイル,右外,false
1,10,後半,アルテミスステークス,あるてみすすてーくす,ジュニア,G3,東京,芝,1600m,マイル,左,false
1,11,前半,福島ジュニアステークス,ふくしまじゅにあすてーくす,ジュニア,OP,福島,芝,1200m,短距離,右,false
1,11,前半,デイリー杯ジュニアステークス,でいりーはいじゅにあすてーくす,ジュニア,G2,京都,芝,1600m,マイル,右外,false
1,11,前半,百日草特別,ひゃくにちそうとくべつ,ジュニア,Pre-OP,東京,芝,2000m,中距離,左,false
1,11,前半,黄菊賞,きぎくしょう,ジュニア,Pre-OP,京都,芝,2000m,中距離,右内,false
1,11,前半,オキザリス賞,おきざりすしょう,ジュニア,Pre-OP,東京,ダート,1400m,短距離,左,false
1,11,前半,きんもくせい特別,きんもくせいとくべつ,ジュニア,Pre-OP,福島,芝,1800m,マイル,右,false
1,11,前半,ファンタジーステークス,ふぁんたじーすてーくす,ジュニア,G3,京都,芝,1400m,短距離,右外,false
1,11,前半,京王杯ジュニアステークス,けいおうはいじゅにあすてーくす,ジュニア,G2,東京,芝,1400m,短距離,左,false
1,11,後半,白菊賞,しらぎくしょう,ジュニア,Pre-OP,京都,芝,1600m,マイル,右外,false
1,11,後半,カトレア賞,かとれあしょう,ジュニア,Pre-OP,東京,ダート,1600m,マイル,left,false
1,11,後半,ベゴニア賞,べごにあしょう,ジュニア,Pre-OP,東京,芝,1600m,マイル,左,false
1,11,後半,もちの木賞,もちのきしょう,ジュニア,Pre-OP,京都,ダート,1800m,マイル,右,false
1,11,後半,京都ジュニアステークス,きょうとじゅにあすてーくす,ジュニア,G3,京都,芝,2000m,中距離,右内,false
1,11,後半,東京スポーツ杯ジュニアステークス,とうきょうすぽーつはいじゅにあすてーくす,ジュニア,G3,東京,芝,1800m,マイル,左,false
1,11,後半,こうやまき賞,こうやまきしょう,ジュニア,Pre-OP,中京,芝,1600m,マイル,左,false
