uma_name,cast_name,cast_name_kana,main_color,sub_color,is_primary,is_additional,note,tags
スペシャルウィーク,和氣あず未,わきあずみ,#ee6dcb,#ffdef9,TRUE,FALSE,,
サイレンススズカ,高野麻里佳,こうのまりか,#29bd70,#ffce48,TRUE,FALSE,,
トウカイテイオー,Machico,まちこ,#3376d2,#ff99d0,TRUE,FALSE,,
マルゼンスキー,Lynn,りん,#ea504a,#ffcd00,TRUE,FALSE,,#シングレ
フジキセキ,松井恵理子,まついえりこ,#444745,#33b839,TRUE,FALSE,,
オグリキャップ,高柳知葉,たかやなぎともよ,#3a7ad2,#ece7e7,TRUE,FALSE,,#シングレ
ゴールドシップ,上田瞳,うえだひとみ,#da3c57,#e9da36,TRUE,FALSE,,
ウオッカ,大橋彩香,おおはしあやか,#d4c200,#3dd1d7,TRUE,FALSE,,
ダイワスカーレット,木村千咲,きむらちさ,#4f64d8,#e73472,TRUE,FALSE,,
タイキシャトル,大坪由佳,おおつぼゆか,#73c032,#ffac42,TRUE,FALSE,,
グラスワンダー,前田玲奈,まえだれな,#3a34ac,#e3493f,TRUE,FALSE,,
ヒシアマゾン,巽悠衣子,たつみゆいこ,#2185d0,#e6453a,TRUE,FALSE,,
メジロマックイーン,大西沙織,おおにしさおり,#00b5be,#dfc8e7,TRUE,FALSE,,
エルコンドルパサー,髙橋ミナミ,たかはしみなみ,#dd4e31,#efdb28,TRUE,FALSE,,
テイエムオペラオー,徳井青空,とくいそら,#f271c4,#fbe415,TRUE,FALSE,,
ナリタブライアン,衣川里佳,きぬがわりか,#75358c,#d638a3,TRUE,FALSE,,
シンボリルドルフ,田所あずさ,たどころあずさ,#1c7763,#c6314b,TRUE,FALSE,,#シングレ
エアグルーヴ,青木瑠璃子,あおきるりこ,#0092cb,#fae053,TRUE,FALSE,,
アグネスデジタル,鈴木みのり,すずきみのり,#f37f96,#f9f189,TRUE,FALSE,,
セイウンスカイ,鬼頭明里,きとうあかり,#65d283,#f4da40,TRUE,FALSE,,
タマモクロス,大空直美,おおぞらなおみ,#3290d6,#c6dae7,TRUE,FALSE,,#シングレ
ファインモーション,橋本ちなみ,はしもとちなみ,#20a95c,#ee5340,TRUE,FALSE,,
ビワハヤヒデ,近藤唯,こんどうゆい,#b03d81,#e776b6,TRUE,FALSE,,
マヤノトップガン,星谷美緒,ほしたにみお,#f57d38,#ffc845,TRUE,FALSE,,
マンハッタンカフェ,小倉唯,おぐらゆい,#494541,#e8dd4c,TRUE,FALSE,,
ミホノブルボン,長谷川育美,はせがわいくみ,#ee60a1,#f0ed41,TRUE,FALSE,,
メジロライアン,土師亜文,はしあふみ,#14baae,#7c4d3a,TRUE,FALSE,,
ヒシアケボノ,松嵜麗,まつざきれい,#208bcd,#fa6f8b,TRUE,FALSE,,
ユキノビジン,山本希望,やまもとのぞみ,#af7e51,#c8d8eb,TRUE,FALSE,,
ライスシャワー,石見舞菜香,いわみまなか,#384a86,#ca3e6d,TRUE,FALSE,,
アイネスフウジン,長江里加,ながえりか,#f078c5,#54ae1b,TRUE,FALSE,,
アグネスタキオン,上坂すみれ,うえさかすみれ,#35b2b6,#e2e868,TRUE,FALSE,,
アドマイヤベガ,咲々木瞳,ささきひとみ,#3865a1,#78d5e1,TRUE,FALSE,,
イナリワン,井上遥乃,いのうえはるの,#ae419e,#ec86d0,TRUE,FALSE,,#シングレ
ウイニングチケット,渡部優衣,わたなべゆい,#dd3d5b,#ede233,TRUE,FALSE,,
エアシャカール,津田美波,つだみなみ,#2459b4,#e1e000,TRUE,FALSE,,
エイシンフラッシュ,藤野彩水,ふじのあやみ,#3d3b3a,#e33067,TRUE,FALSE,,
カレンチャン,篠原侑,ささはらゆう,#f86669,#47423e,TRUE,FALSE,,
カワカミプリンセス,高橋花林,たかはしかりん,#e146a7,#00c7b1,TRUE,FALSE,,
ゴールドシチー,香坂さき,こうさかさき,#245099,#e63c5c,TRUE,FALSE,,
サクラバクシンオー,三澤紗千香,みさわさちか,#ee6fab,#f2d4d7,TRUE,FALSE,,
シーキングザパール,福原綾香,ふくはらあやか,#b02d40,#1690d4,TRUE,FALSE,,
